checkin_id	created_at	checkin_comment	rating_score	user_id	user_name	beer_id	beer_name	beer_style	beer_slug	beer_abv	beer_link	brewery_id	brewery_name	brewery_type	brewery_country	brewery_city	brewery_link	source_app	toasts_count	venue_id	venue_name	venue_country	venue_city	venue_lat	venue_lng	avg_rating	ratings_count	checkins_count
795822945	24/08/2019 09:23:39 a. m.		3.75	1279815	gruntoff	3392619	Laźnia	Smoked Beer	malanka-laznia	5.8	https://untappd.com/b/malanka-laznia/3392619	431182	Malanka	Nano Brewery	Belarus	Minsk	https://untappd.com/Malanka	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	4.09	332.0	406.0
795821965	24/08/2019 09:21:52 a. m.		3.75	1279815	gruntoff	3313677	G.see Orb	IPA - Imperial / Double New England	xp-brew-g-see-orb	8.0	https://untappd.com/b/xp-brew-g-see-orb/3313677	301347	XP Brew	Micro Brewery	Russia	Gagarin	https://untappd.com/XPBrew	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.94	332.0	395.0
795815828	24/08/2019 09:10:03 a. m.	Мне налили какую-то хуйню	0.0	1279815	gruntoff	3262814	Sour Blood Orange	Sour - Fruited	labeerint-brewery-sour-blood-orange	4.0	https://untappd.com/b/labeerint-brewery-sour-blood-orange/3262814	51452	LaBEERint Brewery	Micro Brewery	Russia	Obninsk	https://untappd.com/LaBEERintBrewery	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.32	245.0	274.0
795814862	24/08/2019 09:08:09 a. m.		4.0	1279815	gruntoff	3230253	G.O.S.E. | Passion Fruit & Blackberry	Sour - Fruited Gose	xp-brew-g-o-s-e-passion-fruit-and-blackberry	5.0	https://untappd.com/b/xp-brew-g-o-s-e-passion-fruit-and-blackberry/3230253	301347	XP Brew	Micro Brewery	Russia	Gagarin	https://untappd.com/XPBrew	Untappd for iPhone - (V2)	1	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.79	1424.0	1629.0
795811672	24/08/2019 09:01:58 a. m.		4.0	1279815	gruntoff	977864	Сила Притяжения	Cider - Dry	knightberg-sila-prityazheniya	5.5	https://untappd.com/b/knightberg-sila-prityazheniya/977864	12920	Knightberg	Micro Brewery	Russia	Saint Petersburg	https://untappd.com/Knightberg	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.83	319.0	401.0
795811261	24/08/2019 09:01:10 a. m.		3.75	1279815	gruntoff	3395055	ЗЕЛЕНЫЙ мАРАкуй	IPA - American	bierbank-zelenyj-marakuj	5.0	https://untappd.com/b/bierbank-zelenyj-marakuj/3395055	28890	BIERBANK	Micro Brewery	Belarus	Минск	https://untappd.com/Bierbank	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.98	68.0	73.0
795811105	24/08/2019 09:00:49 a. m.		3.75	1279815	gruntoff	3372221	Against Pale Milk!	Pale Ale - Milkshake	zagovor-brewery-against-pale-milk	5.0	https://untappd.com/b/zagovor-brewery-against-pale-milk/3372221	135208	Zagovor Brewery	Micro Brewery	Russia	Moscow	https://untappd.com/ZagovorBrewery	Untappd for iPhone - (V2)	1	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.92	2837.0	3228.0
795810560	24/08/2019 08:59:44 a. m.		3.75	1279815	gruntoff	3336776	Дзен и искусство ухода за юдзу \ Zen & the Art of Yuzu Maintenance	Sour - Fruited Gose	pivovarnya-chasha-thicket-brewery-dzen-i-iskusstvo-uhoda-za-yudzu-zen-and-the-art-of-yuzu-maintenance	4.0	https://untappd.com/b/pivovarnya-chasha-thicket-brewery-dzen-i-iskusstvo-uhoda-za-yudzu-zen-and-the-art-of-yuzu-maintenance/3336776	344561	Пивоварня Чаща / Thicket Brewery	Micro Brewery	Russia	Moscow	https://untappd.com/ThicketBrewery	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.9	837.0	925.0
795803942	24/08/2019 08:46:15 a. m.		4.5	1279815	gruntoff	3373768	Overhype	Sour - Fruited	stamm-brewing-overhype	7.0	https://untappd.com/b/stamm-brewing-overhype/3373768	44976	Stamm Brewing	Micro Brewery	Russia	Красная Пахра	https://untappd.com/StammBeer	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	4.5	1305.0	1610.0
795803569	24/08/2019 08:45:28 a. m.		4.0	1279815	gruntoff	3262659	Isotropy	Sour - Fruited Gose	zagovor-brewery-isotropy	4.5	https://untappd.com/b/zagovor-brewery-isotropy/3262659	135208	Zagovor Brewery	Micro Brewery	Russia	Moscow	https://untappd.com/ZagovorBrewery	Untappd for iPhone - (V2)	1	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	4.02	1779.0	2072.0
795803378	24/08/2019 08:45:04 a. m.		3.75	1279815	gruntoff	2360205	The Good Cider Strawberry	Cider - Other Fruit	grupo-eva-the-good-cider-strawberry	4.0	https://untappd.com/b/grupo-eva-the-good-cider-strawberry/2360205	49995	Grupo Eva	Cidery	Spain	Azkoitia	https://untappd.com/EvaGroup	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	3.27	765.0	908.0
795794496	24/08/2019 08:26:12 a. m.		4.0	1279815	gruntoff	3373783	My Three Hops	IPA - Imperial / Double New England	stamm-brewing-my-three-hops	8.0	https://untappd.com/b/stamm-brewing-my-three-hops/3373783	44976	Stamm Brewing	Micro Brewery	Russia	Красная Пахра	https://untappd.com/StammBeer	Untappd for iPhone - (V2)	0	9104086.0	Beer'n'Cider Fest	Беларусь	Мінск	53.892	27.573	4.14	5934.0	7203.0
795757332	24/08/2019 06:59:23 a. m.		1.0	1279815	gruntoff	3393688	NAZAD V BSSR	Kvass	beerbeery-nazad-v-bssr	2.0	https://untappd.com/b/beerbeery-nazad-v-bssr/3393688	339988	Beerbeery	Home Brewery	Belarus		https://untappd.com/Beerbeerys	Untappd for iPhone - (V2)	1	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.72	34.0	37.0
795757118	24/08/2019 06:58:44 a. m.		3.75	1279815	gruntoff	3392704	Ebrietas	IPA - American	155hb-ebrietas	7.0	https://untappd.com/b/155hb-ebrietas/3392704	421795	155HB	Home Brewery	Belarus		https://untappd.com/155HB	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.11	35.0	40.0
795756769	24/08/2019 06:57:48 a. m.		3.75	1279815	gruntoff	3392500	Бельгийское пшеничное	Wheat Beer - Witbier	vadbeer-belgijskoe-pshenichnoe	5.3	https://untappd.com/b/vadbeer-belgijskoe-pshenichnoe/3392500	441923	VadBeer	Home Brewery	Belarus		https://untappd.com/w/vadbeer/441923	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.99	34.0	39.0
795749525	24/08/2019 06:39:02 a. m.		2.5	1279815	gruntoff	3393665	Альбинос	Stout - White	sav-ale-albinos	6.8	https://untappd.com/b/sav-ale-albinos/3393665	340959	Sav_ale	Home Brewery	Belarus		https://untappd.com/w/sav_ale/340959	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.78	50.0	56.0
795747967	24/08/2019 06:34:52 a. m.		3.25	1279815	gruntoff	3016372	12. Янык. Овощ их..	IPA - Black / Cascadian Dark Ale	pahonya-hb-12-yanyk-ovosh-ih	7.0	https://untappd.com/b/pahonya-hb-12-yanyk-ovosh-ih/3016372	237243	Pahonya_hb	Home Brewery	Belarus	Minsk	https://untappd.com/Pahonya_hb	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.55	28.0	32.0
